Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
blue-branches,Blue Branches,"Welcome to your blue period…or purple it’s hard to tell. 4.5”across by 4.75” tall with drainage holes, your succulent cacti or houseplant won’t be blue living here.",death's door store,Home & Garden > Lawn & Garden > Gardening > Pots & Planters,"",you're kiln me,true,Title,Default Title,,,,,,,,"",1360.77711,shopify,deny,manual,70.00,,true,true,"",https://cdn.shopify.com/s/files/1/0781/7697/7186/files/IMG_1655.jpg?v=1699123183,1,"",false,,,,,,,,,,,,,,,lb,,,active
blue-branches,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7697/7186/files/PhotoRoom_20231104_115021.jpg?v=1699124106,2,"",,,,,,,,,,,,,,,,,,,
blue-branches,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7697/7186/files/5AE0FE3E-27D8-4B69-934C-BBC36AA68637.jpg?v=1699124105,3,"",,,,,,,,,,,,,,,,,,,
blue-branches,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7697/7186/files/8ABF0071-0136-4FAE-9D66-FF38DADD63D2.jpg?v=1699124106,4,"",,,,,,,,,,,,,,,,,,,
blue-branches,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7697/7186/files/EA819A6F-F7CA-41C7-AD13-FDB8832CDC45.jpg?v=1699124106,5,"",,,,,,,,,,,,,,,,,,,
blue-branches,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7697/7186/files/IMG_2579.jpg?v=1699124105,6,"",,,,,,,,,,,,,,,,,,,
medium-yellow-lined-planter,medium yellow lined planter,"yellow bellied but not a coward, this 5""x 5"" planter with drainage will make a happy home for anything you desire...well anything plant related- I'd keep your cats out of it.",death's door store,Home & Garden > Lawn & Garden > Gardening > Pots & Planters,"",you're kiln me,true,Title,Default Title,,,,,,,,"",1814.36948,shopify,deny,manual,75.00,,true,true,"",https://cdn.shopify.com/s/files/1/0781/7697/7186/files/PhotoRoom_20230724_194437.png?v=1690253194,1,"",false,,,,,,,,,,,,,,,lb,,,active
pineapple-planter,Pineapple planter,<p>4.5”x 4.5”(bigger in the middle - like many of us) blue black green-  planter only </p>,death's door store,Arts & Entertainment,"","",true,Title,Default Title,,,,,,,,"",2267.96185,shopify,deny,manual,75.00,,true,true,,https://cdn.shopify.com/s/files/1/0781/7697/7186/files/IMG-0481.jpg?v=1714680777,1,"",false,,,,,,,,,,,,,,,lb,,,active
pineapple-planter,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7697/7186/files/IMG-0480.jpg?v=1714680777,2,"",,,,,,,,,,,,,,,,,,,
pineapple-planter,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7697/7186/files/IMG-0479.jpg?v=1714680778,3,"",,,,,,,,,,,,,,,,,,,
pineapple-planter,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7697/7186/files/FullSizeRender.jpg?v=1714680777,4,"",,,,,,,,,,,,,,,,,,,
small-lightning-glazed-planter,small lightning glaze planter,"3 inch by 3 inch multi color, lightning glaze planter.",death's door store,Home & Garden > Lawn & Garden > Gardening > Pots & Planters,"",you're kiln me,false,Title,Default Title,,,,,,,,"",2267.96185,shopify,deny,manual,50.00,,true,true,"",https://cdn.shopify.com/s/files/1/0781/7697/7186/files/PhotoRoom_20230724_210129copy.png?v=1690257771,1,"",false,,,,,,,,,,,,,,,lb,,,archived
